dest_node,source_node,weight,source_class,dest_class,edge_class
4653,1566,1,0,1,0-1
4654,433,1,0,1,0-1
4654,2517,1,0,1,0-1
4655,1208,1,0,1,0-1
4655,2158,1,0,1,0-1
4655,2190,1,0,1,0-1
4655,2245,1,0,1,0-1
4655,2510,1,0,1,0-1
4655,2514,1,0,1,0-1
4655,2518,1,0,1,0-1
4655,2519,1,0,1,0-1
4655,2520,1,0,1,0-1
4655,2521,1,0,1,0-1
4656,356,1,0,1,0-1
4656,1386,1,0,1,0-1
4656,2522,1,0,1,0-1
4657,2523,1,0,1,0-1
4657,2524,1,0,1,0-1
4658,2190,1,0,1,0-1
4658,2245,1,0,1,0-1
4658,2510,1,0,1,0-1
4658,2514,1,0,1,0-1
4658,2525,1,0,1,0-1
4659,1239,1,0,1,0-1
4659,1387,1,0,1,0-1
4659,2526,1,0,1,0-1
4660,2527,1,0,1,0-1
4660,2528,1,0,1,0-1
4661,168,1,0,1,0-1
4661,410,1,0,1,0-1
4661,2108,1,0,1,0-1
4661,2529,1,0,1,0-1
4662,1945,1,0,1,0-1
4662,2118,1,0,1,0-1
4662,2530,1,0,1,0-1
4663,1322,1,0,1,0-1
4663,2243,1,0,1,0-1
4663,2253,1,0,1,0-1
4664,1444,1,0,1,0-1
4664,2531,1,0,1,0-1
4665,2255,1,0,1,0-1
4665,2532,1,0,1,0-1
4666,121,1,0,1,0-1
4666,2533,1,0,1,0-1
4667,902,1,0,1,0-1
4667,2534,1,0,1,0-1
4668,331,1,0,1,0-1
4668,1945,1,0,1,0-1
4668,2535,1,0,1,0-1
4669,1510,1,0,1,0-1
4669,2536,1,0,1,0-1
4670,218,1,0,1,0-1
4670,2537,1,0,1,0-1
4671,92,1,0,1,0-1
4671,93,1,0,1,0-1
4671,101,1,0,1,0-1
4671,102,1,0,1,0-1
4671,605,1,0,1,0-1
4671,818,1,0,1,0-1
4671,1498,1,0,1,0-1
4671,2538,1,0,1,0-1
4671,2539,1,0,1,0-1
4672,318,1,0,1,0-1
4672,1959,1,0,1,0-1
4672,2540,1,0,1,0-1
4673,902,1,0,1,0-1
4673,2541,1,0,1,0-1
4674,331,1,0,1,0-1
4674,341,1,0,1,0-1
4674,1945,1,0,1,0-1
4674,2542,1,0,1,0-1
4675,368,1,0,1,0-1
4675,2543,1,0,1,0-1
4676,2157,1,0,1,0-1
4676,2545,1,0,1,0-1
4677,159,1,0,1,0-1
4677,1506,1,0,1,0-1
4677,1598,1,0,1,0-1
4678,835,1,0,1,0-1
4678,836,1,0,1,0-1
4678,1548,1,0,1,0-1
4679,2547,1,0,1,0-1
4680,1211,1,0,1,0-1
4680,2548,1,0,1,0-1
4680,2549,1,0,1,0-1
4681,1213,1,0,1,0-1
4681,2550,1,0,1,0-1
4682,223,1,0,1,0-1
4682,1059,1,0,1,0-1
4682,1285,1,0,1,0-1
4682,1827,1,0,1,0-1
4682,2551,1,0,1,0-1
4682,2552,1,0,1,0-1
4683,1213,1,0,1,0-1
4683,2550,1,0,1,0-1
4684,115,1,0,1,0-1
4684,126,1,0,1,0-1
4684,308,1,0,1,0-1
4685,566,1,0,1,0-1
4685,851,1,0,1,0-1
4685,2365,1,0,1,0-1
4685,2553,1,0,1,0-1
4686,919,1,0,1,0-1
4686,1103,1,0,1,0-1
4686,1428,1,0,1,0-1
4687,610,1,0,1,0-1
4687,1539,1,0,1,0-1
4687,2554,1,0,1,0-1
4688,2556,1,0,1,0-1
4688,2557,1,0,1,0-1
4689,2558,1,0,1,0-1
4690,2202,1,0,1,0-1
4690,2559,1,0,1,0-1
4690,2560,1,0,1,0-1
4690,2561,1,0,1,0-1
4691,2562,1,0,1,0-1
4691,2563,1,0,1,0-1
4692,407,1,0,1,0-1
4692,541,1,0,1,0-1
4693,2452,1,0,1,0-1
4693,2453,1,0,1,0-1
4693,2564,1,0,1,0-1
4693,2565,1,0,1,0-1
4693,2566,1,0,1,0-1
4693,2567,1,0,1,0-1
4693,2568,1,0,1,0-1
4693,2569,1,0,1,0-1
4693,2570,1,0,1,0-1
4694,280,1,0,1,0-1
4694,442,1,0,1,0-1
4694,573,1,0,1,0-1
4694,2571,1,0,1,0-1
4694,2572,1,0,1,0-1
4695,17,1,0,1,0-1
4695,2573,1,0,1,0-1
4695,2574,1,0,1,0-1
4695,2575,1,0,1,0-1
4696,1300,1,0,1,0-1
4696,2474,1,0,1,0-1
4696,2576,1,0,1,0-1
4697,68,1,0,1,0-1
4697,2577,1,0,1,0-1
4698,130,1,0,1,0-1
4698,131,1,0,1,0-1
4698,2578,1,0,1,0-1
4699,919,1,0,1,0-1
4699,2579,1,0,1,0-1
4700,1200,1,0,1,0-1
4700,1201,1,0,1,0-1
4701,1874,1,0,1,0-1
4701,2581,1,0,1,0-1
4702,2524,1,0,1,0-1
4703,2188,1,0,1,0-1
4703,2445,1,0,1,0-1
4703,2582,1,0,1,0-1
4703,2583,1,0,1,0-1
4704,2268,1,0,1,0-1
4704,2585,1,0,1,0-1
4705,597,1,0,1,0-1
4705,1968,1,0,1,0-1
4705,2587,1,0,1,0-1
4706,1874,1,0,1,0-1
4706,2588,1,0,1,0-1
4707,600,1,0,1,0-1
4707,2262,1,0,1,0-1
4707,2589,1,0,1,0-1
4708,1874,1,0,1,0-1
4708,2590,1,0,1,0-1
4708,2591,1,0,1,0-1
4708,2592,1,0,1,0-1
4708,2593,1,0,1,0-1
4709,1992,1,0,1,0-1
4709,2201,1,0,1,0-1
4709,2594,1,0,1,0-1
4709,2595,1,0,1,0-1
4710,902,1,0,1,0-1
4710,1995,1,0,1,0-1
4710,2184,1,0,1,0-1
4711,884,1,0,1,0-1
4711,1040,1,0,1,0-1
4711,1185,1,0,1,0-1
4711,2596,1,0,1,0-1
4711,2597,1,0,1,0-1
4711,2598,1,0,1,0-1
4712,1304,1,0,1,0-1
4712,2307,1,0,1,0-1
4712,2599,1,0,1,0-1
4712,2600,1,0,1,0-1
4713,107,1,0,1,0-1
4713,2394,1,0,1,0-1
4713,2601,1,0,1,0-1
4714,2602,1,0,1,0-1
4714,2603,1,0,1,0-1
4715,2604,1,0,1,0-1
4716,566,1,0,1,0-1
4716,2602,1,0,1,0-1
4716,2605,1,0,1,0-1
4717,1421,1,0,1,0-1
4717,1422,1,0,1,0-1
4717,1423,1,0,1,0-1
4717,2606,1,0,1,0-1
4718,1558,1,0,1,0-1
4718,2607,1,0,1,0-1
4718,2608,1,0,1,0-1
4719,208,1,0,1,0-1
4719,946,1,0,1,0-1
4719,1285,1,0,1,0-1
4719,1374,1,0,1,0-1
4720,2609,1,0,1,0-1
4720,2610,1,0,1,0-1
4721,2609,1,0,1,0-1
4721,2611,1,0,1,0-1
4721,2612,1,0,1,0-1
4722,200,1,0,1,0-1
4722,2613,1,0,1,0-1
4723,1307,1,0,1,0-1
4723,2067,1,0,1,0-1
4723,2088,1,0,1,0-1
4724,92,1,0,1,0-1
4724,779,1,0,1,0-1
4724,2614,1,0,1,0-1
4724,2615,1,0,1,0-1
4725,2616,1,0,1,0-1
4725,2617,1,0,1,0-1
4725,2618,1,0,1,0-1
4726,482,1,0,1,0-1
4726,2619,1,0,1,0-1
4726,2620,1,0,1,0-1
4727,94,1,0,1,0-1
4727,2621,1,0,1,0-1
4728,458,1,0,1,0-1
4728,535,1,0,1,0-1
4729,94,1,0,1,0-1
4729,2621,1,0,1,0-1
4730,977,1,0,1,0-1
4730,2622,1,0,1,0-1
4731,2513,1,0,1,0-1
4731,2514,1,0,1,0-1
4731,2623,1,0,1,0-1
4731,2624,1,0,1,0-1
4731,2625,1,0,1,0-1
4732,137,1,0,1,0-1
4732,1208,1,0,1,0-1
4732,2626,1,0,1,0-1
4733,482,1,0,1,0-1
4733,1404,1,0,1,0-1
4734,1336,1,0,1,0-1
4734,2353,1,0,1,0-1
4734,2493,1,0,1,0-1
4734,2494,1,0,1,0-1
4735,1513,1,0,1,0-1
4735,1514,1,0,1,0-1
4735,1515,1,0,1,0-1
4735,2155,1,0,1,0-1
4735,2627,1,0,1,0-1
4735,2628,1,0,1,0-1
4735,2629,1,0,1,0-1
4736,1308,1,0,1,0-1
4736,1309,1,0,1,0-1
4737,218,1,0,1,0-1
4737,2630,1,0,1,0-1
4738,1782,1,0,1,0-1
4738,2632,1,0,1,0-1
4738,2633,1,0,1,0-1
4738,2634,1,0,1,0-1
4739,1782,1,0,1,0-1
4739,2632,1,0,1,0-1
4739,2635,1,0,1,0-1
4740,884,1,0,1,0-1
4740,1185,1,0,1,0-1
4740,2636,1,0,1,0-1
4741,2251,1,0,1,0-1
4741,2637,1,0,1,0-1
4741,2638,1,0,1,0-1
4742,1544,1,0,1,0-1
4742,2639,1,0,1,0-1
4743,218,1,0,1,0-1
4743,594,1,0,1,0-1
4743,1916,1,0,1,0-1
4743,2640,1,0,1,0-1
4744,218,1,0,1,0-1
4744,594,1,0,1,0-1
4744,1916,1,0,1,0-1
4744,2640,1,0,1,0-1
4745,1414,1,0,1,0-1
4745,1421,1,0,1,0-1
4745,1422,1,0,1,0-1
4745,1434,1,0,1,0-1
4746,458,1,0,1,0-1
4746,2641,1,0,1,0-1
4747,847,1,0,1,0-1
4747,2642,1,0,1,0-1
4748,847,1,0,1,0-1
4748,2318,1,0,1,0-1
4748,2642,1,0,1,0-1
4749,123,1,0,1,0-1
4749,2643,1,0,1,0-1
4750,538,1,0,1,0-1
4750,623,1,0,1,0-1
4750,624,1,0,1,0-1
4750,2644,1,0,1,0-1
4751,69,1,0,1,0-1
4751,624,1,0,1,0-1
4751,1155,1,0,1,0-1
4751,2644,1,0,1,0-1
4752,1944,1,0,1,0-1
4752,2645,1,0,1,0-1
4752,2646,1,0,1,0-1
4753,129,1,0,1,0-1
4753,491,1,0,1,0-1
4753,495,1,0,1,0-1
4753,782,1,0,1,0-1
4754,2190,1,0,1,0-1
4754,2245,1,0,1,0-1
4754,2514,1,0,1,0-1
4754,2624,1,0,1,0-1
4755,454,1,0,1,0-1
4755,1360,1,0,1,0-1
4755,1605,1,0,1,0-1
4755,2647,1,0,1,0-1
4755,2648,1,0,1,0-1
4756,454,1,0,1,0-1
4756,1360,1,0,1,0-1
4756,2647,1,0,1,0-1
4756,2648,1,0,1,0-1
4757,1360,1,0,1,0-1
4757,1488,1,0,1,0-1
4757,2647,1,0,1,0-1
4758,1292,1,0,1,0-1
4758,1293,1,0,1,0-1
4758,2649,1,0,1,0-1
4759,1292,1,0,1,0-1
4759,1293,1,0,1,0-1
4759,2649,1,0,1,0-1
4760,780,1,0,1,0-1
4760,2650,1,0,1,0-1
4760,2651,1,0,1,0-1
4761,1524,1,0,1,0-1
4762,1250,1,0,1,0-1
4762,1934,1,0,1,0-1
4762,2652,1,0,1,0-1
4763,2340,1,0,1,0-1
4763,2653,1,0,1,0-1
4764,1324,1,0,1,0-1
4764,1325,1,0,1,0-1
4765,1324,1,0,1,0-1
4765,1325,1,0,1,0-1
4766,650,1,0,1,0-1
4766,651,1,0,1,0-1
4767,1291,1,0,1,0-1
4767,1350,1,0,1,0-1
4767,2248,1,0,1,0-1
4768,2168,1,0,1,0-1
4768,2169,1,0,1,0-1
4768,2170,1,0,1,0-1
4769,1323,1,0,1,0-1
4769,2168,1,0,1,0-1
4769,2169,1,0,1,0-1
4769,2170,1,0,1,0-1
4770,2159,1,0,1,0-1
4770,2654,1,0,1,0-1
4771,218,1,0,1,0-1
4771,946,1,0,1,0-1
4771,2655,1,0,1,0-1
4772,2656,1,0,1,0-1
4772,2657,1,0,1,0-1
4773,1328,1,0,1,0-1
4773,1329,1,0,1,0-1
4773,1330,1,0,1,0-1
4773,1343,1,0,1,0-1
4773,2658,1,0,1,0-1
4773,2659,1,0,1,0-1
4774,132,1,0,1,0-1
4774,1473,1,0,1,0-1
4774,2448,1,0,1,0-1
4775,272,1,0,1,0-1
4775,593,1,0,1,0-1
4775,594,1,0,1,0-1
4775,1983,1,0,1,0-1
4776,1325,1,0,1,0-1
4777,1325,1,0,1,0-1
4778,1299,1,0,1,0-1
4778,2222,1,0,1,0-1
4779,1210,1,0,1,0-1
4779,2660,1,0,1,0-1
4780,2661,1,0,1,0-1
4780,2662,1,0,1,0-1
4781,315,1,0,1,0-1
4781,1257,1,0,1,0-1
4781,2273,1,0,1,0-1
4781,2663,1,0,1,0-1
4782,594,1,0,1,0-1
4782,2113,1,0,1,0-1
4782,2664,1,0,1,0-1
4783,1444,1,0,1,0-1
4783,2665,1,0,1,0-1
4784,1444,1,0,1,0-1
4784,2531,1,0,1,0-1
4784,2665,1,0,1,0-1
4784,2666,1,0,1,0-1
4785,138,1,0,1,0-1
4785,2667,1,0,1,0-1
4786,1444,1,0,1,0-1
4786,2668,1,0,1,0-1
4786,2669,1,0,1,0-1
4787,2183,1,0,1,0-1
4787,2670,1,0,1,0-1
4787,2671,1,0,1,0-1
4788,371,1,0,1,0-1
4788,1213,1,0,1,0-1
4788,1566,1,0,1,0-1
4788,1819,1,0,1,0-1
4788,2672,1,0,1,0-1
4789,66,1,0,1,0-1
4789,1549,1,0,1,0-1
4789,1550,1,0,1,0-1
4790,2113,1,0,1,0-1
4790,2544,1,0,1,0-1
4790,2673,1,0,1,0-1
4791,902,1,0,1,0-1
4791,2674,1,0,1,0-1
4791,2675,1,0,1,0-1
4792,2113,1,0,1,0-1
4792,2544,1,0,1,0-1
4792,2673,1,0,1,0-1
4793,674,1,0,1,0-1
4794,420,1,0,1,0-1
4794,674,1,0,1,0-1
4795,919,1,0,1,0-1
4795,1103,1,0,1,0-1
4796,104,1,0,1,0-1
4796,1875,1,0,1,0-1
4796,2676,1,0,1,0-1
4797,1335,1,0,1,0-1
4798,518,1,0,1,0-1
4798,1740,1,0,1,0-1
4798,1791,1,0,1,0-1
4798,2677,1,0,1,0-1
4798,2678,1,0,1,0-1
4799,682,1,0,1,0-1
4799,2477,1,0,1,0-1
4799,2679,1,0,1,0-1
4799,2680,1,0,1,0-1
4800,690,1,0,1,0-1
4800,943,1,0,1,0-1
4800,2283,1,0,1,0-1
4800,2491,1,0,1,0-1
4801,2681,1,0,1,0-1
4802,2145,1,0,1,0-1
4802,2146,1,0,1,0-1
4802,2470,1,0,1,0-1
4802,2471,1,0,1,0-1
4802,2683,1,0,1,0-1
4803,482,1,0,1,0-1
4803,2684,1,0,1,0-1
4803,2685,1,0,1,0-1
4804,670,1,0,1,0-1
4804,686,1,0,1,0-1
4805,1290,1,0,1,0-1
4805,1357,1,0,1,0-1
4806,1137,1,0,1,0-1
4806,1205,1,0,1,0-1
4807,1152,1,0,1,0-1
4807,1153,1,0,1,0-1
4808,204,1,0,1,0-1
4808,1374,1,0,1,0-1
4808,1479,1,0,1,0-1
4808,1899,1,0,1,0-1
4808,1912,1,0,1,0-1
4809,491,1,0,1,0-1
4809,747,1,0,1,0-1
4809,1137,1,0,1,0-1
4809,2686,1,0,1,0-1
4810,902,1,0,1,0-1
4810,2674,1,0,1,0-1
4810,2675,1,0,1,0-1
4811,1805,1,0,1,0-1
4812,2517,1,0,1,0-1
4812,2688,1,0,1,0-1
4813,566,1,0,1,0-1
4813,2397,1,0,1,0-1
4813,2689,1,0,1,0-1
4814,902,1,0,1,0-1
4814,2690,1,0,1,0-1
4815,636,1,0,1,0-1
4815,2592,1,0,1,0-1
4815,2691,1,0,1,0-1
4815,2692,1,0,1,0-1
4816,2110,1,0,1,0-1
4816,2111,1,0,1,0-1
4816,2342,1,0,1,0-1
4817,2264,1,0,1,0-1
4818,2264,1,0,1,0-1
4818,2524,1,0,1,0-1
4819,379,1,0,1,0-1
4819,698,1,0,1,0-1
4819,1153,1,0,1,0-1
4819,2693,1,0,1,0-1
4820,1157,1,0,1,0-1
4820,2694,1,0,1,0-1
4821,964,1,0,1,0-1
4821,2086,1,0,1,0-1
4821,2142,1,0,1,0-1
4821,2695,1,0,1,0-1
4822,1636,1,0,1,0-1
4822,1653,1,0,1,0-1
4822,2113,1,0,1,0-1
4822,2696,1,0,1,0-1
4823,1933,1,0,1,0-1
4823,2552,1,0,1,0-1
4823,2697,1,0,1,0-1
4823,2698,1,0,1,0-1
4823,2699,1,0,1,0-1
4824,482,1,0,1,0-1
4824,1115,1,0,1,0-1
4824,2285,1,0,1,0-1
4824,2700,1,0,1,0-1
4824,2701,1,0,1,0-1
4825,1796,1,0,1,0-1
4826,594,1,0,1,0-1
4826,1363,1,0,1,0-1
4826,2475,1,0,1,0-1
4827,235,1,0,1,0-1
4827,2702,1,0,1,0-1
4828,1290,1,0,1,0-1
4828,2703,1,0,1,0-1
4829,1380,1,0,1,0-1
4829,1381,1,0,1,0-1
4830,27,1,0,1,0-1
4830,2431,1,0,1,0-1
4830,2560,1,0,1,0-1
4830,2704,1,0,1,0-1
4830,2705,1,0,1,0-1
4831,1359,1,0,1,0-1
4831,1410,1,0,1,0-1
4831,1411,1,0,1,0-1
4831,2133,1,0,1,0-1
4831,2706,1,0,1,0-1
4832,695,1,0,1,0-1
4832,2362,1,0,1,0-1
4832,2707,1,0,1,0-1
4833,1314,1,0,1,0-1
4833,2708,1,0,1,0-1
4833,2709,1,0,1,0-1
4833,2710,1,0,1,0-1
4834,2711,1,0,1,0-1
4834,2712,1,0,1,0-1
4835,130,1,0,1,0-1
4835,131,1,0,1,0-1
4835,2264,1,0,1,0-1
4835,2714,1,0,1,0-1
4836,130,1,0,1,0-1
4836,2715,1,0,1,0-1
4836,2716,1,0,1,0-1
4836,2717,1,0,1,0-1
4837,2718,1,0,1,0-1
4837,2719,1,0,1,0-1
4837,2720,1,0,1,0-1
4838,1416,1,0,1,0-1
4838,2162,1,0,1,0-1
4839,310,1,0,1,0-1
4839,311,1,0,1,0-1
4839,352,1,0,1,0-1
4840,317,1,0,1,0-1
4840,1497,1,0,1,0-1
4841,623,1,0,1,0-1
4841,624,1,0,1,0-1
4841,1427,1,0,1,0-1
4841,2644,1,0,1,0-1
4841,2721,1,0,1,0-1
4841,2722,1,0,1,0-1
4841,2723,1,0,1,0-1
4842,53,1,0,1,0-1
4842,1909,1,0,1,0-1
4843,1907,1,0,1,0-1
4843,2724,1,0,1,0-1
4844,765,1,0,1,0-1
4844,847,1,0,1,0-1
4844,2725,1,0,1,0-1
4845,1129,1,0,1,0-1
4845,2301,1,0,1,0-1
4845,2726,1,0,1,0-1
4846,92,1,0,1,0-1
4846,1499,1,0,1,0-1
4847,92,1,0,1,0-1
4847,1499,1,0,1,0-1
4848,441,1,0,1,0-1
4848,2727,1,0,1,0-1
4849,1286,1,0,1,0-1
4849,1287,1,0,1,0-1
4849,1352,1,0,1,0-1
4849,2728,1,0,1,0-1
4850,491,1,0,1,0-1
4850,521,1,0,1,0-1
4850,2469,1,0,1,0-1
4851,1201,1,0,1,0-1
4851,1599,1,0,1,0-1
4851,2730,1,0,1,0-1
4852,657,1,0,1,0-1
4852,808,1,0,1,0-1
4852,2460,1,0,1,0-1
4852,2484,1,0,1,0-1
4852,2731,1,0,1,0-1
4852,2732,1,0,1,0-1
4853,69,1,0,1,0-1
4853,623,1,0,1,0-1
4853,624,1,0,1,0-1
4853,1155,1,0,1,0-1
4853,1427,1,0,1,0-1
4853,2721,1,0,1,0-1
4853,2722,1,0,1,0-1
4853,2733,1,0,1,0-1
4854,613,1,0,1,0-1
4854,2731,1,0,1,0-1
4855,1216,1,0,1,0-1
4855,2734,1,0,1,0-1
4856,126,1,0,1,0-1
4856,748,1,0,1,0-1
4856,2735,1,0,1,0-1
4857,2190,1,0,1,0-1
4857,2514,1,0,1,0-1
4857,2737,1,0,1,0-1
4858,746,1,0,1,0-1
4858,1287,1,0,1,0-1
4858,1826,1,0,1,0-1
4858,2738,1,0,1,0-1
4859,967,1,0,1,0-1
4860,795,1,0,1,0-1
4860,804,1,0,1,0-1
4860,1944,1,0,1,0-1
4860,2646,1,0,1,0-1
4860,2739,1,0,1,0-1
4861,879,1,0,1,0-1
4861,1136,1,0,1,0-1
4862,377,1,0,1,0-1
4862,2741,1,0,1,0-1
4863,377,1,0,1,0-1
4863,2106,1,0,1,0-1
4863,2741,1,0,1,0-1
4863,2742,1,0,1,0-1
4864,2183,1,0,1,0-1
4864,2671,1,0,1,0-1
4865,373,1,0,1,0-1
4865,1387,1,0,1,0-1
4865,1388,1,0,1,0-1
4865,2743,1,0,1,0-1
4866,2113,1,0,1,0-1
4866,2744,1,0,1,0-1
4866,2745,1,0,1,0-1
4867,218,1,0,1,0-1
4868,482,1,0,1,0-1
4868,1797,1,0,1,0-1
4869,2142,1,0,1,0-1
4869,2736,1,0,1,0-1
4869,2746,1,0,1,0-1
4869,2747,1,0,1,0-1
4870,482,1,0,1,0-1
4870,1797,1,0,1,0-1
4870,2748,1,0,1,0-1
4871,160,1,0,1,0-1
4871,902,1,0,1,0-1
4871,2749,1,0,1,0-1
4872,30,1,0,1,0-1
4872,1976,1,0,1,0-1
4872,2250,1,0,1,0-1
4872,2751,1,0,1,0-1
4873,2168,1,0,1,0-1
4873,2169,1,0,1,0-1
4873,2170,1,0,1,0-1
4873,2752,1,0,1,0-1
4873,2753,1,0,1,0-1
4874,902,1,0,1,0-1
4874,1852,1,0,1,0-1
4874,2274,1,0,1,0-1
4874,2754,1,0,1,0-1
4875,127,1,0,1,0-1
4875,232,1,0,1,0-1
4875,1435,1,0,1,0-1
4875,1438,1,0,1,0-1
4875,2146,1,0,1,0-1
4875,2462,1,0,1,0-1
4876,122,1,0,1,0-1
4876,1435,1,0,1,0-1
4876,1436,1,0,1,0-1
4876,1438,1,0,1,0-1
4877,85,1,0,1,0-1
4877,122,1,0,1,0-1
4877,1435,1,0,1,0-1
4877,1808,1,0,1,0-1
4877,1932,1,0,1,0-1
4877,2586,1,0,1,0-1
4878,218,1,0,1,0-1
4878,292,1,0,1,0-1
4879,218,1,0,1,0-1
4879,292,1,0,1,0-1
4879,2035,1,0,1,0-1
4880,746,1,0,1,0-1
4880,1825,1,0,1,0-1
4880,1826,1,0,1,0-1
4880,2755,1,0,1,0-1
4881,439,1,0,1,0-1
4881,2756,1,0,1,0-1
4882,160,1,0,1,0-1
4882,902,1,0,1,0-1
4882,1854,1,0,1,0-1
4883,2750,1,0,1,0-1
4883,2757,1,0,1,0-1
4884,1418,1,0,1,0-1
4884,2758,1,0,1,0-1
4885,1337,1,0,1,0-1
4885,1361,1,0,1,0-1
4885,1386,1,0,1,0-1
4886,1092,1,0,1,0-1
4886,1093,1,0,1,0-1
4886,1267,1,0,1,0-1
4887,2759,1,0,1,0-1
4887,2760,1,0,1,0-1
4888,1210,1,0,1,0-1
4888,2761,1,0,1,0-1
4889,188,1,0,1,0-1
4889,495,1,0,1,0-1
4889,726,1,0,1,0-1
4890,482,1,0,1,0-1
4890,1404,1,0,1,0-1
4891,232,1,0,1,0-1
4891,1435,1,0,1,0-1
4891,1438,1,0,1,0-1
4892,90,1,0,1,0-1
4892,1039,1,0,1,0-1
4892,1123,1,0,1,0-1
4892,2762,1,0,1,0-1
