,dest_node,source_node,weight,source_class,dest_class,edge_class
280,132,131,1,0,0,0-0
281,19,96,1,0,0,0-0
282,46,33,1,0,0,0-0
283,82,7,1,0,0,0-0
284,145,58,1,0,0,0-0
285,9,15,1,0,0,0-0
286,36,70,1,0,0,0-0
287,64,149,1,0,0,0-0
288,49,60,1,0,0,0-0
289,146,17,1,0,0,0-0
290,145,73,1,0,0,0-0
291,117,14,1,0,0,0-0
292,44,60,1,0,0,0-0
293,41,149,1,0,0,0-0
294,124,38,1,0,0,0-0
295,29,75,1,0,0,0-0
296,80,24,1,0,0,0-0
297,64,53,1,0,0,0-0
298,147,6,1,0,0,0-0
299,4,8,1,0,0,0-0
300,85,38,1,0,0,0-0
301,95,66,1,0,0,0-0
302,45,138,1,0,0,0-0
303,21,73,1,0,0,0-0
304,109,87,1,0,0,0-0
305,83,90,1,0,0,0-0
306,27,88,1,0,0,0-0
307,66,104,1,0,0,0-0
308,96,121,1,0,0,0-0
309,129,67,1,0,0,0-0
310,53,22,1,0,0,0-0
311,89,4,1,0,0,0-0
312,129,71,1,0,0,0-0
313,38,36,1,0,0,0-0
314,43,124,1,0,0,0-0
315,111,142,1,0,0,0-0
316,30,87,1,0,0,0-0
317,75,30,1,0,0,0-0
318,4,55,1,0,0,0-0
319,102,37,1,0,0,0-0
320,48,111,1,0,0,0-0
321,140,116,1,0,0,0-0
322,146,11,1,0,0,0-0
323,111,44,1,0,0,0-0
324,58,104,1,0,0,0-0
325,51,37,1,0,0,0-0
326,94,126,1,0,0,0-0
327,12,32,1,0,0,0-0
328,99,100,1,0,0,0-0
329,17,102,1,0,0,0-0
330,4,36,1,0,0,0-0
331,43,143,1,0,0,0-0
332,87,124,1,0,0,0-0
333,131,145,1,0,0,0-0
334,101,0,1,0,0,0-0
335,31,99,1,0,0,0-0
336,125,71,1,0,0,0-0
337,95,8,1,0,0,0-0
338,35,3,1,0,0,0-0
339,133,103,1,0,0,0-0
340,118,10,1,0,0,0-0
341,119,33,1,0,0,0-0
342,8,108,1,0,0,0-0
343,6,120,1,0,0,0-0
344,30,19,1,0,0,0-0
345,145,11,1,0,0,0-0
346,20,5,1,0,0,0-0
347,28,18,1,0,0,0-0
348,0,14,1,0,0,0-0
349,120,29,1,0,0,0-0
350,84,15,1,0,0,0-0
351,54,76,1,0,0,0-0
352,76,90,1,0,0,0-0
353,24,33,1,0,0,0-0
354,7,142,1,0,0,0-0
355,23,63,1,0,0,0-0
356,77,47,1,0,0,0-0
357,54,37,1,0,0,0-0
358,34,5,1,0,0,0-0
359,41,117,1,0,0,0-0
360,54,88,1,0,0,0-0
361,79,14,1,0,0,0-0
362,110,130,1,0,0,0-0
363,90,148,1,0,0,0-0
364,29,57,1,0,0,0-0
365,119,8,1,0,0,0-0
366,91,46,1,0,0,0-0
367,94,85,1,0,0,0-0
368,51,79,1,0,0,0-0
369,90,122,1,0,0,0-0
370,95,103,1,0,0,0-0
371,82,64,1,0,0,0-0
372,107,121,1,0,0,0-0
373,137,21,1,0,0,0-0
374,82,38,1,0,0,0-0
375,104,111,1,0,0,0-0
376,28,43,1,0,0,0-0
377,22,31,1,0,0,0-0
378,36,57,1,0,0,0-0
379,91,21,1,0,0,0-0
380,89,17,1,0,0,0-0
381,121,1,1,0,0,0-0
382,119,2,1,0,0,0-0
383,140,2,1,0,0,0-0
384,130,140,1,0,0,0-0
385,105,52,1,0,0,0-0
386,96,89,1,0,0,0-0
387,7,10,1,0,0,0-0
388,44,104,1,0,0,0-0
389,2,93,1,0,0,0-0
390,5,97,1,0,0,0-0
391,67,13,1,0,0,0-0
392,87,1,1,0,0,0-0
393,128,60,1,0,0,0-0
394,59,13,1,0,0,0-0
395,37,55,1,0,0,0-0
396,83,0,1,0,0,0-0
397,146,14,1,0,0,0-0
398,46,89,1,0,0,0-0
399,148,14,1,0,0,0-0
400,141,82,1,0,0,0-0
401,64,30,1,0,0,0-0
402,65,32,1,0,0,0-0
403,94,143,1,0,0,0-0
404,95,80,1,0,0,0-0
405,76,100,1,0,0,0-0
406,23,105,1,0,0,0-0
407,107,18,1,0,0,0-0
408,0,125,1,0,0,0-0
409,36,132,1,0,0,0-0
410,138,37,1,0,0,0-0
411,21,86,1,0,0,0-0
412,88,137,1,0,0,0-0
413,112,61,1,0,0,0-0
414,4,118,1,0,0,0-0
415,67,8,1,0,0,0-0
416,29,18,1,0,0,0-0
417,144,120,1,0,0,0-0
418,71,118,1,0,0,0-0
419,56,121,1,0,0,0-0
420,100,14,1,0,0,0-0
421,38,102,1,0,0,0-0
422,55,134,1,0,0,0-0
423,44,69,1,0,0,0-0
424,28,56,1,0,0,0-0
425,44,65,1,0,0,0-0
426,115,12,1,0,0,0-0
427,2,75,1,0,0,0-0
428,145,92,1,0,0,0-0
429,99,72,1,0,0,0-0
430,27,100,1,0,0,0-0
431,130,17,1,0,0,0-0
432,127,39,1,0,0,0-0
433,123,15,1,0,0,0-0
434,65,139,1,0,0,0-0
435,100,117,1,0,0,0-0
436,23,134,1,0,0,0-0
437,78,148,1,0,0,0-0
438,38,26,1,0,0,0-0
439,142,137,1,0,0,0-0
440,43,61,1,0,0,0-0
441,56,17,1,0,0,0-0
442,55,34,1,0,0,0-0
443,41,31,1,0,0,0-0
444,144,65,1,0,0,0-0
445,116,137,1,0,0,0-0
446,121,144,1,0,0,0-0
447,1,37,1,0,0,0-0
448,140,99,1,0,0,0-0
449,31,29,1,0,0,0-0
450,81,146,1,0,0,0-0
451,62,15,1,0,0,0-0
452,26,13,1,0,0,0-0
453,12,19,1,0,0,0-0
454,5,21,1,0,0,0-0
455,91,14,1,0,0,0-0
456,50,130,1,0,0,0-0
457,25,52,1,0,0,0-0
458,25,94,1,0,0,0-0
459,15,143,1,0,0,0-0
460,123,139,1,0,0,0-0
461,10,5,1,0,0,0-0
462,67,32,1,0,0,0-0
463,126,2,1,0,0,0-0
464,61,110,1,0,0,0-0
465,69,121,1,0,0,0-0
466,114,100,1,0,0,0-0
467,65,149,1,0,0,0-0
468,88,30,1,0,0,0-0
469,103,56,1,0,0,0-0
470,136,106,1,0,0,0-0
471,90,17,1,0,0,0-0
472,103,19,1,0,0,0-0
473,26,136,1,0,0,0-0
474,95,139,1,0,0,0-0
475,137,75,1,0,0,0-0
476,2,111,1,0,0,0-0
477,122,32,1,0,0,0-0
478,113,77,1,0,0,0-0
479,23,23,1,0,0,0-0
480,19,144,1,0,0,0-0
481,81,133,1,0,0,0-0
482,52,62,1,0,0,0-0
483,79,134,1,0,0,0-0
484,124,29,1,0,0,0-0
485,144,47,1,0,0,0-0
486,138,93,1,0,0,0-0
487,54,110,1,0,0,0-0
488,15,135,1,0,0,0-0
489,131,7,1,0,0,0-0
490,134,20,1,0,0,0-0
491,68,38,1,0,0,0-0
492,108,70,1,0,0,0-0
493,4,111,1,0,0,0-0
494,129,146,1,0,0,0-0
495,46,7,1,0,0,0-0
496,135,123,1,0,0,0-0
497,47,104,1,0,0,0-0
498,22,92,1,0,0,0-0
499,147,113,1,0,0,0-0
500,101,74,1,0,0,0-0
501,137,117,1,0,0,0-0
502,131,109,1,0,0,0-0
503,112,146,1,0,0,0-0
504,71,42,1,0,0,0-0
505,10,117,1,0,0,0-0
506,48,112,1,0,0,0-0
507,149,9,1,0,0,0-0
508,134,110,1,0,0,0-0
509,11,77,1,0,0,0-0
510,50,70,1,0,0,0-0
511,93,21,1,0,0,0-0
512,114,34,1,0,0,0-0
513,20,149,1,0,0,0-0
514,20,40,1,0,0,0-0
515,64,139,1,0,0,0-0
516,87,124,1,0,0,0-0
517,12,130,1,0,0,0-0
518,106,127,1,0,0,0-0
519,32,42,1,0,0,0-0
520,130,97,1,0,0,0-0
521,44,52,1,0,0,0-0
522,21,15,1,0,0,0-0
523,25,25,1,0,0,0-0
524,63,123,1,0,0,0-0
525,26,147,1,0,0,0-0
526,55,149,1,0,0,0-0
527,103,147,1,0,0,0-0
528,75,30,1,0,0,0-0
529,5,15,1,0,0,0-0
530,85,18,1,0,0,0-0
531,37,105,1,0,0,0-0
532,33,123,1,0,0,0-0
533,59,144,1,0,0,0-0
534,43,130,1,0,0,0-0
535,40,83,1,0,0,0-0
536,93,79,1,0,0,0-0
537,42,127,1,0,0,0-0
538,101,138,1,0,0,0-0
539,104,7,1,0,0,0-0
540,117,8,1,0,0,0-0
541,30,51,1,0,0,0-0
542,91,119,1,0,0,0-0
543,22,132,1,0,0,0-0
544,71,35,1,0,0,0-0
545,103,26,1,0,0,0-0
546,60,118,1,0,0,0-0
547,119,117,1,0,0,0-0
548,8,35,1,0,0,0-0
549,135,146,1,0,0,0-0
550,34,118,1,0,0,0-0
551,44,70,1,0,0,0-0
552,0,5,1,0,0,0-0
553,63,13,1,0,0,0-0
554,85,67,1,0,0,0-0
555,62,81,1,0,0,0-0
556,78,74,1,0,0,0-0
557,2,123,1,0,0,0-0
558,111,100,1,0,0,0-0
559,0,90,1,0,0,0-0
560,84,141,1,0,0,0-0
561,34,102,1,0,0,0-0
562,73,101,1,0,0,0-0
563,41,64,1,0,0,0-0
564,40,112,1,0,0,0-0
565,116,19,1,0,0,0-0
566,143,79,1,0,0,0-0
567,112,141,1,0,0,0-0
568,27,114,1,0,0,0-0
569,60,113,1,0,0,0-0
570,62,70,1,0,0,0-0
571,73,139,1,0,0,0-0
572,18,4,1,0,0,0-0
573,27,13,1,0,0,0-0
574,60,68,1,0,0,0-0
575,128,129,1,0,0,0-0
576,99,131,1,0,0,0-0
577,4,49,1,0,0,0-0
578,106,44,1,0,0,0-0
579,105,145,1,0,0,0-0
580,49,143,1,0,0,0-0
581,123,130,1,0,0,0-0
582,119,4,1,0,0,0-0
583,38,64,1,0,0,0-0
584,78,3,1,0,0,0-0
585,71,121,1,0,0,0-0
586,99,62,1,0,0,0-0
587,36,127,1,0,0,0-0
588,117,83,1,0,0,0-0
589,117,125,1,0,0,0-0
590,56,114,1,0,0,0-0
591,83,32,1,0,0,0-0
592,53,48,1,0,0,0-0
593,62,16,1,0,0,0-0
594,104,17,1,0,0,0-0
595,4,2,1,0,0,0-0
596,33,91,1,0,0,0-0
597,121,44,1,0,0,0-0
598,71,111,1,0,0,0-0
599,77,22,1,0,0,0-0
600,3,26,1,0,0,0-0
601,55,35,1,0,0,0-0
602,5,118,1,0,0,0-0
603,143,111,1,0,0,0-0
604,62,67,1,0,0,0-0
605,0,65,1,0,0,0-0
606,39,58,1,0,0,0-0
607,36,53,1,0,0,0-0
608,90,141,1,0,0,0-0
609,70,128,1,0,0,0-0
610,55,34,1,0,0,0-0
611,122,93,1,0,0,0-0
612,85,12,1,0,0,0-0
613,13,98,1,0,0,0-0
614,114,67,1,0,0,0-0
615,68,18,1,0,0,0-0
616,68,95,1,0,0,0-0
617,96,83,1,0,0,0-0
618,70,140,1,0,0,0-0
619,16,50,1,0,0,0-0
620,38,72,1,0,0,0-0
621,106,109,1,0,0,0-0
622,104,38,1,0,0,0-0
623,20,87,1,0,0,0-0
624,29,109,1,0,0,0-0
625,57,138,1,0,0,0-0
626,105,79,1,0,0,0-0
627,63,70,1,0,0,0-0
628,39,88,1,0,0,0-0
629,146,96,1,0,0,0-0
630,29,122,1,0,0,0-0
631,102,97,1,0,0,0-0
632,7,15,1,0,0,0-0
633,39,0,1,0,0,0-0
634,113,129,1,0,0,0-0
635,75,7,1,0,0,0-0
636,15,4,1,0,0,0-0
637,112,63,1,0,0,0-0
638,74,141,1,0,0,0-0
639,62,3,1,0,0,0-0
640,79,141,1,0,0,0-0
641,138,109,1,0,0,0-0
642,80,17,1,0,0,0-0
643,11,16,1,0,0,0-0
644,97,144,1,0,0,0-0
645,21,133,1,0,0,0-0
646,35,10,1,0,0,0-0
647,21,119,1,0,0,0-0
648,43,9,1,0,0,0-0
649,72,113,1,0,0,0-0
650,95,54,1,0,0,0-0
651,11,54,1,0,0,0-0
652,76,120,1,0,0,0-0
653,21,92,1,0,0,0-0
654,35,69,1,0,0,0-0
655,126,104,1,0,0,0-0
656,22,72,1,0,0,0-0
657,97,2,1,0,0,0-0
658,4,36,1,0,0,0-0
659,140,55,1,0,0,0-0
660,2,38,1,0,0,0-0
661,17,102,1,0,0,0-0
662,22,143,1,0,0,0-0
663,45,68,1,0,0,0-0
664,12,57,1,0,0,0-0
665,115,10,1,0,0,0-0
666,119,83,1,0,0,0-0
667,59,22,1,0,0,0-0
668,48,124,1,0,0,0-0
669,12,128,1,0,0,0-0
670,30,100,1,0,0,0-0
671,61,143,1,0,0,0-0
672,143,144,1,0,0,0-0
673,56,56,1,0,0,0-0
674,25,23,1,0,0,0-0
675,104,39,1,0,0,0-0
676,65,80,1,0,0,0-0
677,26,110,1,0,0,0-0
678,72,148,1,0,0,0-0
679,77,3,1,0,0,0-0
680,102,58,1,0,0,0-0
681,56,22,1,0,0,0-0
682,38,80,1,0,0,0-0
683,35,1,1,0,0,0-0
684,83,41,1,0,0,0-0
685,19,113,1,0,0,0-0
686,25,120,1,0,0,0-0
687,44,10,1,0,0,0-0
688,36,22,1,0,0,0-0
689,67,25,1,0,0,0-0
690,75,111,1,0,0,0-0
691,148,18,1,0,0,0-0
692,138,76,1,0,0,0-0
693,8,117,1,0,0,0-0
694,2,134,1,0,0,0-0
695,76,36,1,0,0,0-0
696,3,70,1,0,0,0-0
697,71,124,1,0,0,0-0
698,101,141,1,0,0,0-0
699,111,32,1,0,0,0-0
700,99,56,1,0,0,0-0
701,7,57,1,0,0,0-0
702,42,77,1,0,0,0-0
703,129,66,1,0,0,0-0
704,36,138,1,0,0,0-0
705,63,56,1,0,0,0-0
706,20,67,1,0,0,0-0
707,85,62,1,0,0,0-0
708,20,41,1,0,0,0-0
709,121,110,1,0,0,0-0
710,148,114,1,0,0,0-0
711,28,33,1,0,0,0-0
712,130,64,1,0,0,0-0
713,91,59,1,0,0,0-0
714,104,133,1,0,0,0-0
715,108,11,1,0,0,0-0
716,103,80,1,0,0,0-0
717,67,138,1,0,0,0-0
718,24,41,1,0,0,0-0
719,118,128,1,0,0,0-0
720,5,0,1,0,0,0-0
721,142,111,1,0,0,0-0
722,56,147,1,0,0,0-0
723,81,31,1,0,0,0-0
724,122,62,1,0,0,0-0
725,144,87,1,0,0,0-0
726,61,59,1,0,0,0-0
727,80,120,1,0,0,0-0
728,117,125,1,0,0,0-0
729,43,73,1,0,0,0-0
730,146,80,1,0,0,0-0
731,87,25,1,0,0,0-0
732,50,116,1,0,0,0-0
733,78,93,1,0,0,0-0
734,4,55,1,0,0,0-0
735,36,84,1,0,0,0-0
736,10,132,1,0,0,0-0
737,43,132,1,0,0,0-0
738,143,42,1,0,0,0-0
739,85,9,1,0,0,0-0
740,8,78,1,0,0,0-0
741,137,38,1,0,0,0-0
742,111,120,1,0,0,0-0
743,31,91,1,0,0,0-0
744,40,35,1,0,0,0-0
745,76,79,1,0,0,0-0
746,36,88,1,0,0,0-0
747,38,138,1,0,0,0-0
748,149,73,1,0,0,0-0
749,101,127,1,0,0,0-0
750,80,114,1,0,0,0-0
751,127,46,1,0,0,0-0
752,52,89,1,0,0,0-0
753,118,44,1,0,0,0-0
754,90,138,1,0,0,0-0
755,144,143,1,0,0,0-0
756,73,24,1,0,0,0-0
757,74,101,1,0,0,0-0
758,103,65,1,0,0,0-0
759,103,70,1,0,0,0-0
760,133,95,1,0,0,0-0
761,103,75,1,0,0,0-0
762,95,138,1,0,0,0-0
763,132,69,1,0,0,0-0
764,104,73,1,0,0,0-0
765,27,118,1,0,0,0-0
766,80,76,1,0,0,0-0
767,87,106,1,0,0,0-0
768,129,131,1,0,0,0-0
769,29,13,1,0,0,0-0
770,104,11,1,0,0,0-0
771,90,115,1,0,0,0-0
772,101,121,1,0,0,0-0
773,121,53,1,0,0,0-0
774,72,51,1,0,0,0-0
775,1,17,1,0,0,0-0
776,104,124,1,0,0,0-0
777,132,136,1,0,0,0-0
778,231,82,1,1,0,Jan-00
779,158,27,1,1,0,Jan-00
780,152,48,1,1,0,Jan-00
781,284,118,1,1,0,Jan-00
782,181,88,1,1,0,Jan-00
783,285,142,1,1,0,Jan-00
784,268,50,1,1,0,Jan-00
785,271,110,1,1,0,Jan-00
786,287,66,1,1,0,Jan-00
787,237,36,1,1,0,Jan-00
788,275,104,1,1,0,Jan-00
789,207,123,1,1,0,Jan-00
790,204,20,1,1,0,Jan-00
791,245,14,1,1,0,Jan-00
792,242,90,1,1,0,Jan-00
793,294,61,1,1,0,Jan-00
794,277,6,1,1,0,Jan-00
795,216,69,1,1,0,Jan-00
796,258,17,1,1,0,Jan-00
797,299,52,1,1,0,Jan-00
798,292,77,1,1,0,Jan-00
799,151,144,1,1,0,Jan-00
800,256,149,1,1,0,Jan-00
801,280,84,1,1,0,Jan-00
802,254,61,1,1,0,Jan-00
803,267,54,1,1,0,Jan-00
804,289,125,1,1,0,Jan-00
805,281,125,1,1,0,Jan-00
806,173,96,1,1,0,Jan-00
807,221,59,1,1,0,Jan-00
808,255,17,1,1,0,Jan-00
809,273,30,1,1,0,Jan-00
810,241,63,1,1,0,Jan-00
811,290,30,1,1,0,Jan-00
812,185,115,1,1,0,Jan-00
813,246,56,1,1,0,Jan-00
814,150,121,1,1,0,Jan-00
815,282,113,1,1,0,Jan-00
816,276,63,1,1,0,Jan-00
817,168,70,1,1,0,Jan-00
818,161,131,1,1,0,Jan-00
819,164,6,1,1,0,Jan-00
820,222,131,1,1,0,Jan-00
821,239,26,1,1,0,Jan-00
822,199,72,1,1,0,Jan-00
823,159,142,1,1,0,Jan-00
824,160,0,1,1,0,Jan-00
825,154,61,1,1,0,Jan-00
826,293,23,1,1,0,Jan-00
827,218,79,1,1,0,Jan-00
828,252,2,1,1,0,Jan-00
829,209,110,1,1,0,Jan-00
830,203,128,1,1,0,Jan-00
831,234,143,1,1,0,Jan-00
832,214,148,1,1,0,Jan-00
833,178,38,1,1,0,Jan-00
834,259,42,1,1,0,Jan-00
835,223,128,1,1,0,Jan-00
836,212,108,1,1,0,Jan-00
837,238,86,1,1,0,Jan-00
838,272,73,1,1,0,Jan-00
839,172,124,1,1,0,Jan-00
840,240,23,1,1,0,Jan-00
841,179,41,1,1,0,Jan-00
842,295,77,1,1,0,Jan-00
843,229,87,1,1,0,Jan-00
844,220,127,1,1,0,Jan-00
845,247,106,1,1,0,Jan-00
846,153,109,1,1,0,Jan-00
847,186,38,1,1,0,Jan-00
848,170,51,1,1,0,Jan-00
849,224,4,1,1,0,Jan-00
850,283,121,1,1,0,Jan-00
851,196,123,1,1,0,Jan-00
852,226,94,1,1,0,Jan-00
853,260,87,1,1,0,Jan-00
854,190,120,1,1,0,Jan-00
855,210,121,1,1,0,Jan-00
856,175,110,1,1,0,Jan-00
857,193,44,1,1,0,Jan-00
858,157,123,1,1,0,Jan-00
859,192,104,1,1,0,Jan-00
860,253,102,1,1,0,Jan-00
